DATE,SP500_Price,NASDAQComposite_Price,SP500_Return,NASDAQComposite_Return,Yield_Spread,VIX,VXN
03/01/1996,621.32,1046.26,0.095004234,-1.17726108,0.38,12.1,
04/01/1996,617.7,1029.82,-0.584334442,-1.583787103,0.46,13.78,
05/01/1996,616.71,1033.47,-0.16040055,0.353804245,0.5,13.58,
08/01/1996,618.46,1032.37,0.283361994,-0.106494221,0.5,13.11,
09/01/1996,609.45,998.81,-1.467560604,-3.304783855,0.52,15.21,
10/01/1996,598.48,990.21,-1.816380354,-0.864752852,0.61,16.4,
11/01/1996,602.69,1011.1,0.700986078,2.087708425,0.59,14.69,
12/01/1996,601.81,1008.23,-0.146118747,-0.284252889,0.57,14.23,
15/01/1996,599.82,988.57,-0.331217067,-1.969214274,0.57,14.99,
16/01/1996,608.44,995.87,1.426869424,0.735727251,0.52,14.09,
17/01/1996,606.37,998.3,-0.340794363,0.243710536,0.44,14.25,
18/01/1996,608.24,1007.24,0.307918011,0.891536366,0.42,13.58,
19/01/1996,611.83,1018.45,0.588492523,1.106794666,0.44,12.7,
22/01/1996,613.4,1029.44,0.256278553,1.073310139,0.47,13.34,
23/01/1996,612.79,1028.04,-0.099495192,-0.136088829,0.54,13.56,
24/01/1996,619.96,1043.46,1.163266007,1.488803748,0.5,12.54,
25/01/1996,617.03,1035.95,-0.473731474,-0.722323414,0.58,12.94,
26/01/1996,621.62,1040.96,0.741132848,0.482448418,0.54,12,
29/01/1996,624.22,1042.51,0.417389677,0.148790267,0.52,12.19,
30/01/1996,630.15,1051.3,0.945501595,0.839622663,0.49,12.42,
31/01/1996,636.02,1059.79,0.92721231,0.804328169,0.55,12.53,
01/02/1996,638.46,1069.46,0.38290173,0.90830729,0.6,12.65,
02/02/1996,635.84,1072.11,-0.411206732,0.247482114,0.67,13.23,
05/02/1996,641.43,1083.34,0.875309949,1.042019218,0.7,13.46,
06/02/1996,646.33,1089.08,0.761015041,0.528444164,0.7,14.59,
07/02/1996,649.93,1084.88,0.555445552,-0.386392135,0.72,14.11,
08/02/1996,656.07,1093.17,0.940282579,0.761235053,0.74,13.89,
09/02/1996,656.37,1094.6,0.045716376,0.13072674,0.73,14.63,
12/02/1996,661.45,1095.38,0.770974058,0.07123353,0.68,14.69,
13/02/1996,660.51,1087.22,-0.142213102,-0.747735547,0.65,14.94,
14/02/1996,655.58,1088.03,-0.74919239,0.074474202,0.68,15.59,
15/02/1996,651.32,1090.54,-0.65192671,0.230426483,0.78,16.13,
16/02/1996,647.98,1090.71,-0.514124122,0.015587393,0.87,15.37,
19/02/1996,647.98,1090.71,0,0,0.87,15.37,
20/02/1996,640.65,1083.24,-1.137654572,-0.687231022,1.02,16.8,
21/02/1996,648.1,1096.85,1.156171948,1.248588527,1.02,14.47,
22/02/1996,658.86,1117.11,1.64660634,1.830255792,0.97,14.56,
23/02/1996,659.08,1117.79,0.033385435,0.060852836,1,14.78,
26/02/1996,650.46,1113.05,-1.316511829,-0.424952676,1.03,16.38,
27/02/1996,647.24,1106.17,-0.496263637,-0.620039657,1.05,16.63,
28/02/1996,644.75,1107.55,-0.385452377,0.12467703,1.1,16.72,
29/02/1996,640.43,1100.05,-0.672281901,-0.679473533,1.11,17.04,
01/03/1996,644.37,1086.08,0.613326954,-1.278074969,1.01,16.72,
04/03/1996,650.81,1084.88,0.994464565,-0.110550183,0.9,16.67,
05/03/1996,655.79,1096.81,0.762287481,1.093658486,0.94,16.1,
06/03/1996,652,1091.82,-0.579605382,-0.455993809,1.02,16.56,
07/03/1996,653.65,1093.12,0.252747808,0.118996417,1.04,16.49,
08/03/1996,633.5,1063.73,-3.131204025,-2.725439342,1.4,20.7,
11/03/1996,640.02,1080.5,1.02394261,1.564229765,1.24,19.4,
12/03/1996,637.09,1073.05,-0.458849299,-0.691883608,1.27,19.09,
13/03/1996,638.55,1088.64,0.228904807,1.44241499,1.26,18.13,
14/03/1996,640.87,1091.07,0.36266473,0.222965533,1.25,16.93,
15/03/1996,641.43,1099.59,0.087343061,0.777851694,1.32,16.54,
18/03/1996,652.65,1114.42,1.734093898,1.339670715,1.26,17.31,
19/03/1996,651.69,1112.5,-0.14720091,-0.172435514,1.22,18.35,
20/03/1996,649.98,1101.82,-0.262739555,-0.964637705,1.18,18.66,
21/03/1996,649.19,1099.79,-0.121616124,-0.184410552,1.21,17.74,
22/03/1996,650.62,1102.22,0.220032247,0.220707534,1.22,17.05,
25/03/1996,650.04,1087.09,-0.089185496,-1.382192643,1.13,17.84,
26/03/1996,652.97,1088.35,0.449728696,0.115838648,1.12,17.8,
27/03/1996,648.91,1093.88,-0.623715421,0.506822089,1.17,17.89,
28/03/1996,648.94,1094.83,0.00462303,0.08680913,1.22,18.16,
29/03/1996,645.5,1101.4,-0.531505222,0.598299777,1.21,18.88,
01/04/1996,653.73,1106.57,1.266921189,0.46830432,1.11,17.9,
02/04/1996,655.26,1111.29,0.233768126,0.425636165,1.09,16.45,
03/04/1996,655.88,1115.85,0.094574194,0.409494362,1.12,16.33,
04/04/1996,655.86,1118.21,-0.003049385,0.211274619,1.22,16.18,
05/04/1996,655.86,1118.21,0,0,1.42,16.18,
08/04/1996,644.24,1105.66,-1.787602405,-1.128675078,1.47,18.72,
09/04/1996,642.19,1109.15,-0.318711743,0.315151448,1.46,17.32,
10/04/1996,633.5,1105.28,-1.36242103,-0.349525967,1.55,20.22,
11/04/1996,631.18,1097.14,-0.366891641,-0.73919026,1.6,19.65,
12/04/1996,636.71,1100.94,0.872320953,0.345756641,1.45,17.38,
15/04/1996,642.49,1110.44,0.903695956,0.859197283,1.5,16.83,
16/04/1996,645,1124.92,0.389906435,1.295558884,1.53,16.45,
17/04/1996,641.61,1120.87,-0.526967433,-0.360675254,1.56,17.07,
18/04/1996,643.61,1136.3,0.311231013,1.367220046,1.6,16.41,
19/04/1996,645.07,1138.7,0.226588544,0.210989089,1.52,15.12,
22/04/1996,647.89,1153.5,0.436209082,1.29135378,1.39,15.38,
23/04/1996,651.58,1166.76,0.567925372,1.1429878,1.42,15.01,
24/04/1996,650.17,1176.83,-0.216631542,0.859370621,1.44,14.91,
25/04/1996,652.87,1184.17,0.414416114,0.621772439,1.47,14.72,
26/04/1996,653.46,1186.89,0.090329402,0.22943335,1.43,14.75,
29/04/1996,654.16,1188.2,0.107064754,0.11031162,1.45,15.45,
30/04/1996,654.17,1190.52,0.001528666,0.195062953,1.52,15.83,
01/05/1996,654.58,1199.66,0.062655207,0.764799685,1.57,16.07,
02/05/1996,643.38,1178.33,-1.725827913,-1.794000149,1.72,18.62,
03/05/1996,641.63,1184.6,-0.27237159,0.530698304,1.76,16.7,
06/05/1996,640.81,1186.31,-0.127881244,0.144248436,1.72,16.92,
07/05/1996,638.26,1182.67,-0.398727728,-0.307305496,1.73,16.87,
08/05/1996,644.77,1183.43,1.014794021,0.064240736,1.65,15.78,
09/05/1996,645.44,1187.82,0.103859071,0.370269269,1.71,16.99,
10/05/1996,652.09,1202.76,1.025033444,1.249922153,1.62,15.61,
13/05/1996,661.51,1221.87,1.434251139,1.576355627,1.56,15.16,
14/05/1996,665.6,1234.49,0.616378891,1.027545721,1.52,14.9,
15/05/1996,665.42,1233.56,-0.027046927,-0.075363145,1.52,15.59,
16/05/1996,664.85,1239.31,-0.085696894,0.465047525,1.55,15.71,
17/05/1996,668.91,1241.88,0.608807063,0.207158736,1.5,15.13,
20/05/1996,673.15,1248.11,0.631866549,0.50040466,1.45,15.8,
21/05/1996,672.76,1244.42,-0.057953357,-0.296084917,1.47,16,
22/05/1996,678.42,1247.38,0.837791132,0.237579372,1.45,15.5,
23/05/1996,676,1248.65,-0.357348913,0.101761606,1.5,16.17,
24/05/1996,678.51,1247.8,0.370614152,-0.0680967,1.47,15.54,
27/05/1996,678.51,1247.8,0,0,1.47,15.54,
28/05/1996,672.23,1236.3,-0.929867369,-0.925895266,1.5,16.92,
29/05/1996,667.93,1225.63,-0.641716624,-0.866805052,1.59,17.15,
30/05/1996,671.7,1233.48,0.562843465,0.638444532,1.6,16.02,
31/05/1996,669.12,1243.43,-0.384839603,0.803424712,1.67,16.07,
03/06/1996,667.68,1238.73,-0.21543994,-0.378702873,1.64,16.86,
04/06/1996,672.56,1243.68,0.728230998,0.398806528,1.66,16.18,
05/06/1996,678.44,1249.15,0.870471818,0.438859351,1.6,16.04,
06/06/1996,673.03,1232.52,-0.800613983,-1.340246603,1.55,16.84,
07/06/1996,673.31,1229.76,0.041594249,-0.224182559,1.67,16.1,
10/06/1996,672.16,1230.04,-0.170944024,0.022766079,1.68,16.78,
11/06/1996,670.97,1230.76,-0.177198084,0.058517557,1.72,16.68,
12/06/1996,669.04,1235.47,-0.288057751,0.381959973,1.77,17,
13/06/1996,667.92,1225.65,-0.167544319,-0.798014897,1.77,17.12,
14/06/1996,665.85,1213.18,-0.310398594,-1.022630415,1.74,18.64,
17/06/1996,665.16,1207.64,-0.103680673,-0.457696952,1.71,17.46,
18/06/1996,662.06,1183.08,-0.467142695,-2.054683446,1.72,17.45,
19/06/1996,661.96,1179.27,-0.015105512,-0.322560442,1.73,17.54,
20/06/1996,662.1,1167.34,0.021147078,-1.016794677,1.72,16.97,
21/06/1996,666.84,1175.44,0.713353515,0.691488938,1.7,15.8,
24/06/1996,668.85,1182.9,0.300968266,0.632650498,1.71,15.91,
25/06/1996,668.48,1172.58,-0.055334137,-0.876260128,1.67,15.43,
26/06/1996,664.39,1153.29,-0.613715192,-1.658772185,1.67,15.23,
27/06/1996,668.55,1166.01,0.624186161,1.096893678,1.63,14.19,
28/06/1996,670.63,1185.02,0.310638103,1.617198786,1.55,13.68,
01/07/1996,675.88,1197.45,0.77979764,1.04346437,1.47,13.78,
02/07/1996,673.61,1191.15,-0.336423707,-0.527506875,1.48,14.19,
03/07/1996,672.4,1181.6,-0.179790689,-0.804977479,1.54,14.21,
04/07/1996,672.4,1181.6,0,0,1.54,14.21,
05/07/1996,657.44,1158.35,-2.24998964,-1.98728735,1.75,16.09,
08/07/1996,652.54,1148.82,-0.748106514,-0.82612501,1.7,16.42,
09/07/1996,654.75,1153.59,0.338104339,0.414349036,1.66,15.49,
10/07/1996,656.06,1141.19,0.199876479,-1.080724138,1.66,15.51,
11/07/1996,645.67,1106.36,-1.596371083,-3.099623019,1.64,17.81,
12/07/1996,646.19,1103.49,0.080504084,-0.259746283,1.57,17.09,
15/07/1996,629.8,1060.19,-2.569126952,-4.002974725,1.57,20.11,
16/07/1996,628.37,1053.47,-0.227314372,-0.635865999,1.57,20.1,
17/07/1996,634.07,1086.65,0.903019349,3.101009182,1.57,19.22,
18/07/1996,643.56,1109.82,1.485590435,2.109827084,1.47,17.93,
19/07/1996,638.73,1097.68,-0.753343291,-1.099897838,1.5,17.26,
22/07/1996,633.77,1081.39,-0.779571728,-1.495161098,1.54,20.41,
23/07/1996,626.87,1049.07,-1.094692998,-3.034319324,1.5,21.55,
24/07/1996,626.65,1042.37,-0.035101156,-0.640709073,1.56,21.44,
25/07/1996,631.17,1062.39,0.718706883,1.902412037,1.58,19.39,
